States,Crops,Yield (Kg./Hectare) - 2017-18,Yield (Kg./Hectare) - 2018-19,Yield (Kg./Hectare) - 2019-20,Yield (Kg./Hectare) - 2020-21,Yield (Kg./Hectare) - 2021-22
Chhattisgarh,Foodgrains,1220,1617,1584,1712,1828
Gujarat,Foodgrains,2051,2134,2169,2121,2239
Haryana,Foodgrains,3632,3981,3891,3985,3759
Himachal Pradesh,Foodgrains,2053,2049,2180,2112,2119
Jharkhand,Foodgrains,1957,1623,1817,1733,1729
Karnataka,Foodgrains,1542,1422,1658,1767,1680
Kerala,Foodgrains,2736,2890,3025,3064,3452
Madhya Pradesh,Foodgrains,1963,1970,2199,2188,2369
Maharashtra,Foodgrains,1212,1071,1163,1390,1412
Odisha,Foodgrains,1533,1766,1870,1913,1990
Punjab,Foodgrains,4709,4658,4527,4606,4199
Rajasthan,Foodgrains,1402,1437,1469,1561,1460
Tamil Nadu,Foodgrains,3028,2972,3052,2834,2988
Telangana,Foodgrains,2903,3035,3483,3075,3182
Uttar Pradesh,Foodgrains,2594,2803,2816,2915,2886
Uttarakhand,Foodgrains,2236,2247,2343,2474,2420
West Bengal,Foodgrains,2839,2938,2904,3025,3105
Others,Foodgrains,1988,2043,2080,2086,2281
All India,Foodgrains,2235,2286,2343,2394,2406
Andhra Pradesh,Oilseeds,1328,589,1194,854,681
Assam,Oilseeds,638,642,619,646,636
Bihar,Oilseeds,1208,1248,1099,1077,1043
Chhattisgarh,Oilseeds,461,561,720,613,648
Gujarat,Oilseeds,2125,1458,2320,1844,2043
Haryana,Oilseeds,2008,2042,1783,2008,1938
Himachal Pradesh,Oilseeds,590,590,619,719,719
Jharkhand,Oilseeds,713,684,784,788,796
Karnataka,Oilseeds,883,824,1025,1033,946
Kerala,Oilseeds,900,697,734,409,683
Madhya Pradesh,Oilseeds,1046,1247,864,772,1204
Maharashtra,Oilseeds,1017,1096,1144,1422,1155
Odisha,Oilseeds,625,662,725,927,908
Punjab,Oilseeds,1482,1499,1472,1548,1582
Rajasthan,Oilseeds,1477,1581,1248,1538,1485
Tamil Nadu,Oilseeds,2729,2411,2626,2244,2301
Telangana,Oilseeds,1791,1835,1886,1713,1842
