Pincode,Latitude,Longitude
182146,33.4117631,75.17788530000001
182147,33.1886672,75.42281899999999
761140,19.9099732,84.61128
182205,33.3412388,75.6906241
761201,18.8211513,84.0907246
192121,34.0014616,74.90918529999999
201307,28.5875317,77.3841197
210504,25.5851004,80.0758425
761109,19.6245578,84.3962535
202122,28.000256,78.07660360000001
761123,19.7848831,84.59557319999999
202134,27.8718884,78.4638274
182148,33.2530653,75.3178952
761141,20.1101832,84.5589076
182206,33.4771633,75.632447
761206,18.9319731,83.8579053
192122,33.9506491,75.0260667
201309,28.6197948,77.3611549
210505,26.0003814,79.9864071
761110,19.6264166,84.6531437
202123,27.8311207,77.85959629999999
761124,19.8560886,84.59557319999999
202135,27.9278053,77.77953699999999
182161,32.98773,75.3995089
761143,19.9000096,84.87763919999999
182221,33.0438444,75.78365889999999
761207,18.9746965,84.0801613
192123,33.98026350000001,75.17788530000001
201310,28.4552521,77.5046101
761111,19.6218714,84.7002041
202124,27.7362995,77.96244349999999
761125,19.9253854,84.5327038
202136,28.0383632,77.9852853
182201,33.1543296,75.5975296
761144,19.4606487,84.6636049
182222,32.9889284,75.6906241
761208,18.8759224,83.9532571
192124,33.8312993,75.11951069999999
201311,28.5312769,77.5347129
210507,25.6659781,80.23213129999999
761114,19.689956,84.59557319999999
202125,27.905322,78.1792434
761126,19.9564995,84.5798623
202137,28.0453152,77.67651839999999
182202,33.2808408,75.55096019999999
761146,19.4852895,84.694977
182301,33.0317562,74.9442585
761209,19.1759651,84.4592701
192125,33.8340137,75.41116439999999
201312,28.4197675,77.52467949999999
211001,25.4640822,81.8169709
761115,19.6674773,84.63744840000001
202126,28.0694612,78.07660360000001
761131,20.132597,84.7106567
202138,27.9234225,77.85959629999999
182203,33.0652269,75.96954649999999
761151,19.7859655,84.2489525
182311,33.125459,74.9910112
761210,18.8014374,84.21734029999999
192126,34.0634689,75.50437610000002
201313,28.5398946,77.335314
211002,25.4782774,81.86068209999999
761116,19.6866704,84.6845216
202127,28.0332665,78.1906417
761132,20.0312404,84.5012435
202139,27.7165658,78.13363799999999
182204,33.44219820000001,75.9927652
761200,18.7680652,84.0960056
182313,33.201819,74.89749250000001
761211,18.8468149,84.15406589999999
192129,33.7753062,75.2420722
211003,25.4331064,81.84156159999999
761117,19.7527094,84.7106567
202128,27.8755986,78.2362225
761133,19.9120684,84.582481
202140,27.9315294,77.9510209
182315,33.43433470000001,74.8273184
192202,33.5905673,75.3878525
761213,18.9415185,84.15406589999999
761212,18.9339336,84.2910759
192201,33.7448467,75.30623260000002
204211,27.7331684,78.4638274
201315,28.4455953,77.5125205
211004,25.515378,81.8934484
761118,19.8129743,84.7420032
202129,27.9170858,78.3159411
204215,27.7360859,78.36146719999999
202141,28.0074848,77.76809519999999
182320,32.9494528,74.9910112
192211,33.6241452,75.2128996
761214,19.1167904,84.0801613
192401,33.8987336,75.2245693
203411,28.6057718,77.8938895
211005,25.4352273,81.8797976
761119,19.9529366,84.6583745
202130,27.9373592,78.41834659999999
204216,27.7086392,78.04236829999999
202142,28.0197488,77.9053182
184101,32.3793306,75.5131117
192212,33.479312,75.2829046
761215,18.8392148,84.2910759
193101,34.1781579,74.3352858
203412,28.6180591,78.0309542
201317,31.0103699,121.61047
211006,25.4466884,81.8743365
761120,19.9067015,84.7002041
202131,28.0172262,78.4069732
205001,27.2356401,79.0419053
202143,28.0751791,77.9453091
184102,32.338082,75.5160235
192221,33.5375562,75.1311874
203131,28.2041357,77.9053182
193103,34.2213709,74.41738769999999
204101,27.5488018,78.0651931
201318,28.6072095,77.4506093
211007,25.3817423,81.8169709
761121,19.9925786,84.79420909999999
202132,28.1183863,77.8481628
205119,27.1784501,78.9061921
202145,27.6925825,77.85959629999999
184104,32.4419484,75.55096019999999
192231,33.6573767,75.03775019999999
203132,28.2294564,77.80241699999999
204102,27.6386077,78.1678439
202001,27.9079413,78.07660360000001
211008,25.3953293,81.8497567
761122,19.738672,84.63744840000001
202133,27.9787392,78.49792479999999
205121,27.2176264,78.8156113
202146,27.6452023,77.8953181
184120,32.5619569,74.9793243
192232,33.74479710000001,75.03775019999999
203135,28.1249021,77.53901270000001
193109,34.1737512,74.4325232
202002,27.8432288,77.99670429999999
211010,25.3488723,81.86068209999999
205247,27.1498164,79.1322744
202150,27.7944684,78.09942099999999
207248,27.5175591,78.9401383
206241,26.705224,79.4028639
212108,25.1997501,81.614468
184121,32.613504,75.1311874
192233,33.5962732,74.89749250000001
203141,28.1876787,77.7223162
193121,34.1650634,74.5697617
204212,27.5895701,78.2703951
202121,27.7870895,78.2817834
211011,25.4672073,81.7677645
205261,27.0819502,78.8609122
202155,28.0996755,77.76809519999999
193411,33.9416583,74.5228916
207249,27.5140791,79.0419053
206242,26.8096994,79.24511489999999
212109,25.6204487,81.986206
184141,32.5362645,75.2245693
192301,33.8925152,74.90918529999999
203150,28.360946,77.9852853
193122,34.1535323,74.1474846
204213,27.5619791,77.9510209
206001,26.7797354,79.0079949
211012,25.4053231,81.71305219999999
205263,27.3140846,78.8609122
202165,28.0369755,77.58486649999999
193501,34.2952577,74.5697617
207250,27.3765886,79.2112769
206243,26.8084871,79.53786339999999
212111,25.3061741,81.8333656
184142,32.487896,75.2829046
192302,33.7593643,74.8039205
203155,28.1458529,77.6421577
193123,34.0914749,74.006509
204214,27.6098327,78.37284559999999
206002,26.8477528,78.9853813
211013,25.542655,81.8552196
205264,27.0426807,78.95145099999999
202170,27.7244245,78.2248291
193502,34.3931233,74.8273184
207301,27.4660559,78.4524591
206244,26.6720133,79.582819
212201,25.5338364,81.49379929999999
184143,32.4753571,75.45777749999999
192303,33.6778764,74.8507131
203201,28.354998,77.53901270000001
212208,25.4560732,81.6747295
203209,28.2316454,77.57340479999999
193301,34.258764,74.2883536
208009,26.472036,80.2572225
206125,26.5414233,79.08710049999999
203206,28.4742226,77.64788519999999
193224,34.5552932,74.07701
208007,26.405174,80.3909164
203207,28.5535243,77.57340479999999
193225,34.4252839,73.9124674
208008,26.3692442,80.42152460000001
203205,28.4763292,77.7337628
193223,34.5182945,74.4525627
206122,26.4788416,79.4928857
184202,32.5705799,75.6091696
203389,28.1873967,78.37284559999999
193302,34.3485178,74.2707509
208010,26.4292992,80.402048
206126,26.7777536,79.1322744
207124,27.8939304,78.5887951
212305,25.2521439,82.1387233
212503,25.6553084,81.7677645
194109,34.3597201,76.3637285
203390,28.3244546,78.2248291
203392,28.2283051,78.1792434
